original,ocr,visionOcr,Tessaract%,Vision%
"චක්‍රලේඛ අංකය: PS/EAD/Circular/16/2022 මගේ අංකය: PS/EAD/08/23
2023 ජනවාරි මස 09 වන දින
සියලුම අමාත්‍යාංශ ලේකම්වරු
පළාත්‌ ප්‍රධාන ලේකම්වරු
පළාත්‌ ආණ්ඩුකාර ලේකම්වරු වෙන
විදෙස්‌ රාජ්‍ය ජාතාන්නර සංවිධාන, ශ්‍රී ලංකාවේ පිහිටි විදේශීය දූත මණ්ඩල සහ එතෙර පිහිටි ශ්‍රී ලංකා දූත 
මණ්ඩල සමඟ රජයේ අමාත්‍යාංශ/ ආයතන පවත්වනු ලබන අන්තර්‌ ක්‍රියා
ජනාධිපනි ලේකම්ගේ අංක SP/CA/01/11 දරන 2011 ජනවාරි 14 දිනැති චක්‍රලේඛය සංශෝධනය කරමින්‌
නිකුත්‌ කරනු ලබන මෙම චක්‍රලේඛය 2022 දෙසැම්බර්‌ මස 23 වන දින සිට බලාත්මක වේ.","චක්‍රලේඛ අංකය: PSEAD/Circular/16/2022 මගේ අංකය: PSEAD/08/23
2023 ජනවාරි මස 09 චන දින
සියලුම අමාත්‍යාංශ ලේකම්වරු
පළාත්‌ ප්‍රධාන ලේකම්වරු
පළාත්‌ ආණ්ඩුකාර ලේකම්වරු වෙත
විදෙස්‌ රාජ්‍ය, ජාත්‍යන්තර සංවිධාන, ශ්‍රී ලංකාවේ පිහිටි විදේශීය දූත මණ්ඩල සහ එතෙර 868 இ ලංකා දුත
මණ්ඩල සමඟ රජයේ අමාතා්‍යාංශ/ ආයනන පවත්වනු ලබන අන්තර්‌ ක්‍රියා
ජනාධිපති ලේකම්ගේ අංක 51///./01/11 දරන 2011 ජනවාරි 14 දිනැති චක්‍රලේඛය සංශෝධනය කරමින්‌
නිකුත්‌ කරනු ලබන මෙම චක්‍රලේඛය 2022 දෙසැම්බර්‌ මස 23 වන දින සිට බලාත්මක වේ.","චක්‍රලේඛ අංකය: PS/EAD/Circular/16/2022
2023 ජනවාරි මස 09 වන දින
සියලුම අමාත්‍යාංශ ලේකම්වරු
පළාත් ප්‍රධාන ලේකම්වරු
පළාත් ආණ්ඩුකාර ලේකම්වරු වෙත
විදෙස් රාජ්‍ය, ජාත්‍යන්තර සංවිධාන, ශ්‍රී ලංකාවේ පිහිටි විදේශීය දූත මණ්ඩල සහ එතෙර පිහිටි ශ්‍රී ලංකා දූත
මණ්ඩල සමඟ රජයේ අමාත්‍යාංශ/ ආයතන පවත්වනු ලබන අන්තර් ක්‍රියා
මගේ අංකය: PS/EAD/08/23
ජනාධිපති ලේකම්ගේ අංක SP/CA/01/11 දරන 2011 ජනවාරි 14 දිනැති චක්‍රලේඛය සංශෝධනය කරමින්
නිකුත් කරනු ලබන මෙම චක්‍රලේඛය 2022 දෙසැම්බර් මස 23 වන දින සිට බලාත්මක වේ.",86.95,42.14
"විදෙස්‌ රාජ්‍ය, ජාත්‍යන්තර සංවිධාන, ශ්‍රී ලංකාවේ පිහිටි විදේශීය දූත මණ්ඩල සහ එතෙර පිහිටි ශ්‍රී ලංකා දූත
මණ්ඩල සමඟ අන්තර්‌ ක්‍රියා පැවැත්වීමේ දී රජයේ ආයතන විසින්‌ අනුගමනය කළ යුතු මාර්ගෝපදේශ මෙම
චක්‍රලේඛයෙහි අන්තර්ගත ය.","විදෙස්‌ රාජ්‍ය, ජාත්‍යන්තර සංවිධාන, ශ්‍රී ලංකාවේ පිහිටි විදේශීය දූත මණ්ඩල සහ එතෙර 868 ශ්‍රී ලංකා දුත
මණ්ඩල සමහ අන්තර්‌ ක්‍රියා පැවැන්වීමේ දී රජයේ ආයතන විසින්‌ අනුගමනය කළ යුතු මාර්ගෝපදේශ මෙම
චක්‍රලේඛයෙගි අන්තර්ගත ය.","විදෙස් රාජ්‍ය, ජාත්‍යන්තර සංවිධාන, ශ්‍රී ලංකාවේ පිහිටි විදේශීය දූත මණ්ඩල සහ එතෙර පිහිටි ශ්‍රී ලංකා දූත
මණ්ඩල සමඟ අන්තර් ක්‍රියා පැවැත්වීමේ දී රජයේ ආයතන විසින් අනුගමනය කළ යුතු මාර්ගෝපදේශ මෙම
චක්‍රලේඛයෙහි අන්තර්ගත ය.",85.85,99.3
ශ්‍රී ලංකා රාජ්‍යයේ විවිධ ආයතන (උදා.,ශ්‍රී ලංකා රාජ්‍යයේ විවිධ ආයතන (උදා.,ශ්‍රී ලංකා රාජ්‍යයේ විවිධ ආයතන (උදා.,100.0,100.0
"අමාත්‍යාංශ, පළාන්‌ සභා,
දෙපාර්තමේන්තු) සහ විදෙස්‌ රජයන්‌, ආයතන සහ ඔවුන්ගේ රාජ්‍යතාන්ත්‍රික නියෝජනයන්‌ අනර පවත්නා
විධිමත් හා කාර්යපාදක සබඳතා විධිමත්‌ කිරීම සහ ක්‍රමාණුකූලව සකස්‌ කිරීම මෙමඟින්‌ සිදු කෙරෙනු ඇත.","අමාත්‍යාංශ, පළාත්‌ සභා,
දෙපාර්තමේන්තු) සහ විදෙස්‌ රජයන්‌, ආයතන සහ ඔවුන්ගේ රාජ්‍යතාන්ත්‍රික නියෝජනයන්‌ අතර පවත්නා
විධිමත්‌ භා කාර්යපාදක සබඳතා විධිමත්‌ කිරීම සහ ක්‍රමාණුකූලව සකස්‌ කිරීම මෙමගින්‌ සිදු කෙරෙනු ඇත.","අමාත්‍යාංශ, පළාත් සභා,
දෙපාර්තමේන්තු) සහ විදෙස් රජයන්, ආයතන සහ ඔවුන්ගේ රාජ්‍යතාන්ත්‍රික නියෝජනයන් අතර පවත්නා
විධිමත් හා කාර්යපාදක සබඳතා විධිමත් කිරීම සහ ක්‍රමාණුකූලව සකස් කිරීම මෙමඟින් සිදු කෙරෙනු ඇත.",97.35,96.81
පහත සඳහන්‌ මාර්ගෝපදේශයන්ට දැඩිව අනුගත විය යුතු බව ගරු ජනාධිපතිතුමා විසින්‌ නියම කර ඇත.,පහත සඳහන්‌ මාර්ගෝපදේශයන්ට දැඩිව අනුගත විය යුතු බව ගරු ජනාධිපතිතුමා විසින්‌ නියම කර ඇත.,පහත සඳහන් මාර්ගෝපදේශයන්ට දැඩිව අනුගත විය යුතු බව ගරු ජනාධිපතිතුමා විසින් නියම කර ඇත.,100.0,98.82
"එබැවින්‌, මෙම චක්‍රලේඛයෙහි සඳහන්‌ අන්තර්ගතය ඔබගේ ගරු අමාත්‍යවරයාගේ/ ගරු නියෝජ්‍ය
අමාත්‍යවරයාගේ/ ගරු ආණ්ඩුකාරවරයාගේ/ ගරු ප්‍රධාන අමාත්‍යවරයාගේ සහ ඔබ යටතේ ක්‍රියාත්මක වන
අමාත්‍යාංශයේ/ පළාත්‌ සභාවේ/ දෙපාර්තමේන්තුවේ සහ ආයතනයන්හි නිලධාරින්ගේ අවධානයට යොමු
කරන මෙන්‌ කාරුණිකව ඉල්ලා සිටිමි.","එබැවින්‌, මෙම චක්‍රලේඛයෙහි සඳහන්‌ අන්තර්ගතය ඔබගේ ගරු අමාත්‍යවරයාගේ/ ගරු නියෝජ්‍ය
'අමාත්‍යවරයාගේ/ ගරු ආණ්ඩුකාරවරයාගේ/ ගරු ප්‍රධාන අමාත්‍යවරයාගේ සහ ඔබ යටතේ ක්‍රියාත්මක වන
අමාත්‍යාංශයේ/ පළාත්‌ සභාවේ/ දෙපාර්තමේන්තුවේ සහ ආයතනයන්හි නිලධාරින්ගේ අවධානයට යොමු
කරන මෙන්‌ කාරුණිකව ඉල්ලා සිටිමි.","එබැවින්, මෙම චක්‍රලේඛයෙහි සඳහන් අන්තර්ගතය ඔබගේ ගරු අමාත්‍යවරයාගේ/ ගරු නියෝජ්‍ය
අමාත්‍යවරයාගේ/ ගරු ආණ්ඩුකාරවරයාගේ ගරු ප්‍රධාන අමාත්‍යවරයාගේ සහ ඔබ යටතේ ක්‍රියාත්මක වන
අමාත්‍යාංශයේ/ පළාත් සභාවේ/ දෙපාර්තමේන්තුවේ සහ ආයතනයන්හි නිලධාරින්ගේ අවධානයට යොමු
කරන මෙන් කාරුණිකව ඉල්ලා සිටිමි.",99.82,99.11
1.,1.,1.,100.0,100.0
"සාමාන්‍ය
1961 ජාත්‍යන්තර සබඳතා පිළිබඳ වියානා සම්මුතියේ 41(2) වගන්තියට සහ ජාත්‍යන්තරව පිළිගත්‌
පරිචයන්ට අනුකූලව ජාත්‍යන්තර සබඳතා ක්‍රියාත්මක කිරීම සඳහා වූ ප්‍රධාන ආයතනය වන්නේ විදේශ
කටයුතු අමාත්‍යාංශය යි.","සාමාන්‍ය
1961 ජාත්‍යන්තර සබඳතා පිළිබඳ වියානා සම්මුතියේ 41(2) වගන්තියට සහ ජාත්‍යන්තරව පිළිගත්‌
'පරිචයන්ට අනුකූලව ජාත්‍යන්තර සබඳතා ක්‍රියාත්මක කිරීම සඳහා චූ ප්‍රධාන ආයතනය වන්නේ විදේශ
කටයුතු අමාත්‍යාංශය යි.","සාමාන්‍ය
1961 ජාත්‍යන්තර සබඳතා පිළිබඳ වියානා සම්මුතියේ 41(2) වගන්තියට සහ ජාත්‍යන්තරව පිළිගත්
පරිවයන්ට අනුකූලව ජාත්‍යන්තර සබඳතා ක්‍රියාත්මක කිරීම සඳහා වූ ප්‍රධාන ආයතනය වන්නේ විදේශ
කටයුතු අමාත්‍යාංශය යි.",99.26,99.26
"මෙය, ජාත්‍යන්තර සබඳතා පැවැත්වීමේ දී, රාජ්‍යයේ විවිධ අස්ථිත්‌ව සමගාමී
සම්බන්ධීකරණයෙන්‌ ක්‍රියා කරන ඛව තහවුරු කිරීම සඳහා වේ.","මෙය, ජාත්‍යන්තර සබඳතා පැවැත්වීමේ දී, රාජ්‍යයේ චිවිධ අස්ථිත්ව සමගාමී
සම්බන්ධීකරණයෙන්‌ ක්‍රියා කරන බව තහවුරු කිරීම සඳහා වේ.","මෙය, ජාත්‍යන්තර සබඳතා පැවැත්වීමේ දී, රාජ්‍යයේ විවිධ අස්ථිත්ව සමගාමී
සම්බන්ධීකරණයෙන් ක්‍රියා කරන බව තහවුරු කිරීම සඳහා වේ.",97.94,98.35
2.,2.,2.,100.0,100.0
